Applicant,FacilityType,Address,Status,FoodItems,Latitude,Longitude,Schedule
"Cupkates Bakery, LLC",Truck,50 01ST ST,APPROVED,Cupcakes,37.7901490737255,-122.398658184604,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0102&ExportPDF=1&Filename=14MFF-0102_schedule.pdf
Cheese Gone Wild,Truck,400 HOWARD ST,APPROVED,Grilled Cheese Sandwiches,37.7891192076677,-122.395881039335,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0035&ExportPDF=1&Filename=14MFF-0035_schedule.pdf
Mini Mobile Food Catering,Truck,245 01ST ST,APPROVED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,37.7879000978181,-122.394594036205,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0059&ExportPDF=1&Filename=14MFF-0059_schedule.pdf
"Expresso Subito, LLC.",Truck,84 02ND ST,APPROVED,Espresso Drinks,37.7881050616463,-122.400289778405,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0019&ExportPDF=1&Filename=14MFF-0019_schedule.pdf
Senor Sisig,Truck,120 02ND ST,APPROVED,Filipino fusion food: taco: burrito: nachos: rice plates,37.7875140607381,-122.399566331429,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0006&ExportPDF=1&Filename=14MFF-0006_schedule.pdf
Quan Catering,Truck,222 02ND ST,APPROVED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,37.786319798284,-122.398235074249,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0068&ExportPDF=1&Filename=14MFF-0068_schedule.pdf
Linda's Catering,Truck,501 02ND ST,APPROVED,Hot Dogs: Hamburgers: Nachos: Steaks: Pastas: Asian Dishes: Tri-Tip Sandwiches: Sodas & Water,37.7831711043434,-122.392901049479,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0013&ExportPDF=1&Filename=14MFF-0013_schedule.pdf
"VK Industries, Inc.",Truck,625 02ND ST,APPROVED,Indian Street Food,37.7816889753451,-122.391061817287,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0015&ExportPDF=1&Filename=14MFF-0015_schedule.pdf
DO UC US Mobile Catering,Truck,1501 03RD ST,APPROVED,Cold truck: sandwiches: salads: beverages: chips: candy: cookies: coffee: tea: drinks,37.7708922310318,-122.389169231483,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0060&ExportPDF=1&Filename=14MFF-0060_schedule.pdf
Two G's Catering,Truck,1799 03RD ST,APPROVED,Cold Truck: Hot & Cold Sandwiches: Bagels: Burritos: Soups: Hot Dogs: Tacos: Pork Buns: BBQ Meat: Fruit: Various Beverages: Pasties: Pre-Packaged Snacks: Candy: Salads: Muffins: Scones: Brownies: Croissants: Energy Bars: Noodle Bowls,37.7679955456856,-122.387549426547,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0104&ExportPDF=1&Filename=14MFF-0104_schedule.pdf
John's Catering #5,Truck,1900 03RD ST,APPROVED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),37.7651064631908,-122.38967948729,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0023&ExportPDF=1&Filename=14MFF-0023_schedule.pdf
May Sun Kitchen,Truck,2085 03RD ST,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,37.7632990560446,-122.388482306805,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0092&ExportPDF=1&Filename=14MFF-0092_schedule.pdf
May Sun Kitchen,Truck,2030 03RD ST,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,37.7636598013494,-122.389133857405,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0092&ExportPDF=1&Filename=14MFF-0092_schedule.pdf
Natan's Catering,Truck,2101 03RD ST,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,,,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0100&ExportPDF=1&Filename=14MFF-0100_schedule.pdf
May Catering,Truck,2565 03RD ST,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.7567172998371,-122.387648962993,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0022&ExportPDF=1&Filename=14MFF-0022_schedule.pdf
M M Catering,Truck,2700 03RD ST,APPROVED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,37.7547246040128,-122.388456870373,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0093&ExportPDF=1&Filename=14MFF-0093_schedule.pdf
